subject,visibility,Visibility,run,belowth_vs_invisible,threshold_vs_invisible,visible_vs_invisble,pGOr,pGOp,dprime_conditioning,stim_r,stim_p,d_post_r,d_post_p,alpha_pre_r,alpha_pre_p,alpha_post_r,alpha_post_p,dprime_post_av,subjective_awareness,seen_unseen
21,1,well_below_th,4,0,0,1,0.583,0.556,0.071,fish,cap,0.607,-0.395,2.060,1.917,2.025,1.973,0.016,0,
22,4,above_th,1,0,0,0,0.990,0.125,3.477,shoe,fish,NaN,NaN,NaN,NaN,NaN,NaN,3.777,9,
22,3,at_th,2,1,0,0,0.990,0.188,3.213,pear,cap,2.008,0.000,2.043,1.608,2.217,2.195,1.994,7,
22,2,below_th,3,0,1,0,0.528,0.556,-0.070,briefcase,bucket,2.590,2.008,1.905,1.927,1.987,1.930,1.613,3,
22,1,well_below_th,4,0,0,1,0.361,0.694,-0.864,kiwi,chicken,1.121,2.389,2.174,-0.898,2.182,2.310,1.204,1,
23,4,above_th,1,0,0,0,0.875,0.010,3.477,fish,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.007,7,
23,3,at_th,2,1,0,0,0.990,0.062,3.860,chicken,shoe,3.971,2.634,2.397,2.258,2.280,2.001,3.609,8,
23,2,below_th,3,0,1,0,0.917,0.028,3.297,bucket,kiwi,1.469,1.956,1.658,2.316,1.556,1.933,2.179,7,
23,1,well_below_th,4,0,0,1,0.278,0.528,-0.659,briefcase,cap,0.131,0.970,2.067,1.910,1.964,2.112,0.837,3,
24,4,above_th,1,0,0,0,0.990,0.125,3.477,kiwi,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
24,3,at_th,2,1,0,0,0.875,0.062,2.684,briefcase,bucket,3.608,2.590,1.989,2.005,1.621,1.990,2.962,7,
24,2,below_th,3,0,1,0,0.972,0.306,2.423,chicken,shoe,2.432,0.495,-5.385,2.140,2.191,2.014,1.819,5,
24,1,well_below_th,4,0,0,1,0.472,0.167,0.898,cap,fish,1.150,0.131,1.810,2.300,1.720,2.211,0.491,5,
25,4,above_th,1,0,0,0,0.990,0.010,4.653,pear,cap,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
25,3,at_th,2,1,0,0,0.990,0.062,3.860,shoe,bucket,2.301,3.110,1.909,1.659,1.520,2.113,1.876,10,
25,2,below_th,3,0,1,0,0.722,0.139,1.675,fish,briefcase,1.121,1.469,2.012,1.341,1.955,1.639,1.516,5,
25,1,well_below_th,4,0,0,1,0.056,0.167,-0.626,kiwi,chicken,-0.476,-0.114,2.026,2.123,1.875,2.099,0.147,0,
26,4,above_th,1,0,0,0,0.990,0.010,4.653,briefcase,fish,NaN,NaN,NaN,NaN,NaN,NaN,3.890,10,
26,3,at_th,2,1,0,0,0.990,0.188,3.213,cap,chicken,3.971,1.645,1.778,2.060,1.624,1.931,3.135,4,
26,2,below_th,3,0,1,0,0.806,0.889,-0.359,kiwi,bucket,1.516,1.326,1.959,1.384,1.487,1.474,0.807,0,
26,1,well_below_th,4,0,0,1,0.694,0.861,-0.577,pear,shoe,0.289,0.970,1.597,1.836,1.636,1.989,0.725,0,
27,4,above_th,1,0,0,0,0.750,0.010,3.001,chicken,cap,NaN,NaN,NaN,NaN,NaN,NaN,4.147,9,
27,3,at_th,2,1,0,0,0.990,0.062,3.860,shoe,pear,3.110,4.653,2.305,2.200,2.152,1.938,3.750,5,
27,2,below_th,3,0,1,0,0.944,0.111,2.814,bucket,briefcase,3.766,2.795,2.071,2.342,1.334,2.037,2.427,3,
27,1,well_below_th,4,0,0,1,0.722,0.194,1.451,fish,kiwi,0.970,1.121,2.178,-3.314,2.005,1.941,1.547,2,
28,4,above_th,1,0,0,0,0.750,0.125,1.825,cap,chicken,NaN,NaN,NaN,NaN,NaN,NaN,4.396,8,
28,3,at_th,2,1,0,0,0.990,0.010,4.653,kiwi,fish,2.114,2.795,2.338,2.307,2.228,2.032,2.905,5,
28,2,below_th,3,0,1,0,0.010,0.111,-1.106,briefcase,shoe,1.609,-0.887,2.191,2.173,1.962,2.399,1.074,1,
28,1,well_below_th,4,0,0,1,0.028,0.028,0.000,pear,bucket,0.607,1.282,2.112,1.596,2.124,2.159,0.829,0,
29,4,above_th,1,0,0,0,0.990,0.010,4.653,shoe,bucket,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
29,3,at_th,2,1,0,0,0.500,0.438,0.157,cap,pear,2.590,3.477,0.986,1.726,0.710,2.075,2.798,7,
29,2,below_th,3,0,1,0,0.611,0.306,0.791,chicken,briefcase,-1.176,1.253,2.050,1.757,2.449,1.779,0.835,3,
29,1,well_below_th,4,0,0,1,0.750,0.222,1.439,kiwi,fish,1.326,0.970,1.926,2.075,1.630,1.940,1.003,4,
